#     t                x                y                z                vx               vy               vz               m
      2.11492668       0.80513550      -0.37711795      -0.02760078       0.55216611       1.06910372       0.00565237       0.72919529 
      2.12992616       0.81329417      -0.36101098      -0.02750969       0.53561458       1.07854026       0.00649761       0.72727469 
      2.14492564       0.82120275      -0.34476470      -0.02740584       0.51891991       1.08762253       0.00734819       0.72535409 
      2.15992512       0.82886000      -0.32838491      -0.02728920       0.50209319       1.09634857       0.00820368       0.72343348 
      2.17492460       0.83626417      -0.31187705      -0.02715970       0.48514516       1.10471585       0.00906372       0.72151288 
      2.18992408       0.84341353      -0.29524651      -0.02701729       0.46808659       1.11272208       0.00992793       0.71959228 
      2.20492356       0.85030638      -0.27849863      -0.02686188       0.45092823       1.12036517       0.01079593       0.71767168 
      2.21992304       0.85693770      -0.26164445      -0.02669455       0.43328483       1.12648883       0.01144708       0.71709857 
      2.23492252       0.86330333      -0.24470794      -0.02651871       0.41541153       1.13175081       0.01199998       0.71709857 
      2.24992200       0.86940007      -0.22769518      -0.02633461       0.39749022       1.13663720       0.01254665       0.71709857 
      2.26492148       0.87522693      -0.21061176      -0.02614234       0.37953213       1.14114812       0.01308681       0.71709857 
      2.27992096       0.88078468      -0.19346358      -0.02594203       0.36154842       1.14528627       0.01362021       0.71709857 
      2.29492044       0.88607303      -0.17625623      -0.02573378       0.34354995       1.14905308       0.01414663       0.71709857 
      2.30991992       0.89109183      -0.15899524      -0.02551771       0.32554743       1.15245035       0.01466583       0.71709857 
      2.32491940       0.89583940      -0.14168583      -0.02529387       0.30755145       1.15547799       0.01517754       0.71709857 
      2.33991888       0.90031717      -0.12433377      -0.02506241       0.28957241       1.15814035       0.01568158       0.71709857 
      2.35491836       0.90452593      -0.10694456      -0.02482346       0.27162040       1.16044098       0.01617777       0.71709857 
      2.36991784       0.90846613      -0.08952358      -0.02457715       0.25370531       1.16238318       0.01666594       0.71709857 
      2.38491732       0.91213806      -0.07207615      -0.02432357       0.23583687       1.16397015       0.01714590       0.71709857 
