         # x	           y	           z	          vx	          vy	          vz
   0.9130343	   0.4213682	  -0.0100380	  -0.2318181	   1.0762531	   0.0210049
   0.9090468	   0.4392470	  -0.0096866	  -0.2466595	   1.0692434	   0.0211656
   0.9090468	   0.4392470	  -0.0096866	  -0.2468794	   1.0701092	   0.0216074
   0.9048103	   0.4570217	  -0.0093252	  -0.2614772	   1.0628964	   0.0217604
   0.9003325	   0.4746745	  -0.0089613	  -0.2758299	   1.0554888	   0.0219058
   0.8956176	   0.4922024	  -0.0085951	  -0.2899366	   1.0478946	   0.0220437
   0.8906697	   0.5096021	  -0.0082266	  -0.3037965	   1.0401218	   0.0221742
   0.8854928	   0.5268709	  -0.0078560	  -0.3174093	   1.0321784	   0.0222975
   0.8800911	   0.5440060	  -0.0074834	  -0.3307748	   1.0240722	   0.0224136
   0.8744687	   0.5610046	  -0.0071090	  -0.3438929	   1.0158108	   0.0225227
   0.8686298	   0.5778644	  -0.0067327	  -0.3567640	   1.0074017	   0.0226249
   0.8625784	   0.5945828	  -0.0063549	  -0.3693885	   0.9988522	   0.0227204
   0.8625784	   0.5945828	  -0.0063549	  -0.3695404	   0.9999257	   0.0231876
   0.8563161	   0.6111754	  -0.0059677	  -0.3819188	   0.9912429	   0.0232763
   0.8498496	   0.6276223	  -0.0055790	  -0.3940519	   0.9824337	   0.0233585
   0.8431828	   0.6439214	  -0.0051891	  -0.4059408	   0.9735049	   0.0234341
   0.8363200	   0.6600707	  -0.0047980	  -0.4175865	   0.9644633	   0.0235033
   0.8292651	   0.6760685	  -0.0044057	  -0.4289905	   0.9553153	   0.0235664
   0.8220222	   0.6919129	  -0.0040125	  -0.4401544	   0.9460671	   0.0236233
   0.8145951	   0.7076024	  -0.0036184	  -0.4510797	   0.9367249	   0.0236742
   0.8069880	   0.7231355	  -0.0032234	  -0.4617682	   0.9272946	   0.0237193
   0.7992047	   0.7385107	  -0.0028278	  -0.4722219	   0.9177820	   0.0237587
   0.7992047	   0.7385107	  -0.0028278	  -0.4723976	   0.9188137	   0.0242358
   0.7912462	   0.7537440	  -0.0024236	  -0.4826182	   0.9092244	   0.0242695
   0.7831193	   0.7688168	  -0.0020188	  -0.4926078	   0.8995638	   0.0242977
   0.7748278	   0.7837280	  -0.0016137	  -0.5023685	   0.8898372	   0.0243205
   0.7663755	   0.7984766	  -0.0012082	  -0.5119027	   0.8800498	   0.0243379
   0.7577662	   0.8130617	  -0.0008025	  -0.5212126	   0.8702063	   0.0243502
   0.7490036	   0.8274822	  -0.0003966	  -0.5303007	   0.8603117	   0.0243574
   0.7400913	   0.8417375	   0.0000094	  -0.5391694	   0.8503704	   0.0243598
   0.7310331	   0.8558267	   0.0004153	  -0.5478214	   0.8403870	   0.0243573
   0.7218324	   0.8697492	   0.0008212	  -0.5562592	   0.8303657	   0.0243501
   0.7218324	   0.8697492	   0.0008212	  -0.5565114	   0.8311714	   0.0248310
   0.7124887	   0.8835178	   0.0012350	  -0.5647375	   0.8211164	   0.0248192
   0.7030097	   0.8971186	   0.0016485	  -0.5727545	   0.8110317	   0.0248028
   0.6933987	   0.9105511	   0.0020617	  -0.5805650	   0.8009211	   0.0247821
   0.6836593	   0.9238150	   0.0024745	  -0.5881718	   0.7907884	   0.0247570
   0.6737948	   0.9369097	   0.0028869	  -0.5955777	   0.7806372	   0.0247278
   0.6638085	   0.9498352	   0.0032987	  -0.6027854	   0.7704707	   0.0246945
   0.6537037	   0.9625911	   0.0037100	  -0.6097977	   0.7602924	   0.0246572
   0.6434837	   0.9751774	   0.0041206	  -0.6166173	   0.7501053	   0.0246160
   0.6331516	   0.9875938	   0.0045304	  -0.6232471	   0.7399126	   0.0245711
   0.6331516	   0.9875938	   0.0045304	  -0.6235831	   0.7404134	   0.0250591
   0.6227049	   0.9998486	   0.0049477	  -0.6300257	   0.7302179	   0.0250105
   0.6121525	   1.0119335	   0.0053641	  -0.6362840	   0.7200224	   0.0249582
   0.6014972	   1.0238485	   0.0057796	  -0.6423607	   0.7098297	   0.0249024
   0.5907422	   1.0355937	   0.0061941	  -0.6482585	   0.6996423	   0.0248432
   0.5798903	   1.0471692	   0.0066076	  -0.6539802	   0.6894626	   0.0247806
   0.5689446	   1.0585750	   0.0070201	  -0.6595286	   0.6792930	   0.0247148
   0.5579078	   1.0698115	   0.0074314	  -0.6649065	   0.6691357	   0.0246458
   0.5467827	   1.0808789	   0.0078416	  -0.6701164	   0.6589929	   0.0245738
   0.5355722	   1.0917773	   0.0082505	  -0.6751612	   0.6488666	   0.0244988
   0.5355722	   1.0917773	   0.0082505	  -0.6755578	   0.6490519	   0.0250008
   0.5242724	   1.1025102	   0.0086665	  -0.6804401	   0.6389441	   0.0249229
   0.5128926	   1.1130748	   0.0090812	  -0.6851624	   0.6288566	   0.0248421
   0.5014353	   1.1234715	   0.0094945	  -0.6897274	   0.6187912	   0.0247585
   0.4899033	   1.1337006	   0.0099065	  -0.6941378	   0.6087496	   0.0246722
   0.4782991	   1.1437626	   0.0103169	  -0.6983961	   0.5987334	   0.0245833
   0.4666251	   1.1536578	   0.0107259	  -0.7025048	   0.5887442	   0.0244918
   0.4548839	   1.1633869	   0.0111333	  -0.7064664	   0.5787833	   0.0243978
   0.4430778	   1.1729501	   0.0115391	  -0.7102835	   0.5688522	   0.0243014
   0.4312094	   1.1823481	   0.0119433	  -0.7139585	   0.5589522	   0.0242027
   0.4312094	   1.1823481	   0.0119433	  -0.7143778	   0.5588451	   0.0247264
   0.4192738	   1.1915796	   0.0123545	  -0.7179131	   0.5489774	   0.0246254
   0.4072805	   1.2006469	   0.0127641	  -0.7213111	   0.5391432	   0.0245221
   0.3952317	   1.2095506	   0.0131719	  -0.7245742	   0.5293435	   0.0244167
   0.3831296	   1.2182913	   0.0135779	  -0.7277046	   0.5195795	   0.0243091
   0.3709764	   1.2268695	   0.0139821	  -0.7307048	   0.5098520	   0.0241995
   0.3587743	   1.2352860	   0.0143845	  -0.7335768	   0.5001622	   0.0240878
   0.3465254	   1.2435412	   0.0147850	  -0.7363230	   0.4905108	   0.0239743
   0.3342318	   1.2516360	   0.0151836	  -0.7389456	   0.4808987	   0.0238588
   0.3218954	   1.2595709	   0.0155803	  -0.7414466	   0.4713267	   0.0237415
   0.3218954	   1.2595709	   0.0155803	  -0.7418475	   0.4709583	   0.0242936
   0.3095117	   1.2673404	   0.0159842	  -0.7442292	   0.4614271	   0.0241746
   0.2970893	   1.2749515	   0.0163861	  -0.7464936	   0.4519373	   0.0240537
   0.2846301	   1.2824047	   0.0167859	  -0.7486427	   0.4424896	   0.0239312
   0.2721360	   1.2897009	   0.0171837	  -0.7506787	   0.4330845	   0.0238070
   0.2596090	   1.2968406	   0.0175795	  -0.7526034	   0.4237226	   0.0236812
   0.2470507	   1.3038247	   0.0179731	  -0.7544188	   0.4144046	   0.0235538
   0.2344632	   1.3106539	   0.0183646	  -0.7561268	   0.4051308	   0.0234249
   0.2218480	   1.3173288	   0.0187539	  -0.7577294	   0.3959017	   0.0232945
   0.2092070	   1.3238504	   0.0191410	  -0.7592284	   0.3867177	   0.0231628
   0.2092070	   1.3238504	   0.0191410	  -0.7595763	   0.3861081	   0.0237485
   0.1965360	   1.3302091	   0.0195357	  -0.7609734	   0.3769696	   0.0236153
   0.1838426	   1.3364158	   0.0199281	  -0.7622705	   0.3678769	   0.0234808
   0.1711284	   1.3424715	   0.0203183	  -0.7634693	   0.3588302	   0.0233448
   0.1583951	   1.3483767	   0.0207063	  -0.7645716	   0.3498299	   0.0232076
   0.1456441	   1.3541323	   0.0210919	  -0.7655790	   0.3408763	   0.0230691
   0.1328772	   1.3597391	   0.0214752	  -0.7664931	   0.3319695	   0.0229294
   0.1200957	   1.3651978	   0.0218562	  -0.7673157	   0.3231099	   0.0227886
   0.1073014	   1.3705093	   0.0222348	  -0.7680483	   0.3142976	   0.0226465
   0.0944955	   1.3756743	   0.0226110	  -0.7686924	   0.3055328	   0.0225034
   0.0944955	   1.3756743	   0.0226110	  -0.7689690	   0.3046747	   0.0231255
   0.0816750	   1.3806794	   0.0229952	  -0.7695263	   0.2959574	   0.0229813
   0.0688460	   1.3855395	   0.0233770	  -0.7699981	   0.2872878	   0.0228360
   0.0560098	   1.3902555	   0.0237564	  -0.7703859	   0.2786659	   0.0226896
   0.0431678	   1.3948283	   0.0241333	  -0.7706913	   0.2700918	   0.0225421
   0.0303214	   1.3992586	   0.0245078	  -0.7709156	   0.2615656	   0.0223937
   0.0174720	   1.4035471	   0.0248798	  -0.7710603	   0.2530874	   0.0222443
   0.0046207	   1.4076948	   0.0252492	  -0.7711266	   0.2446572	   0.0220940
  -0.0082309	   1.4117023	   0.0256162	  -0.7711159	   0.2362750	   0.0219428
  -0.0210818	   1.4155706	   0.0259806	  -0.7710295	   0.2279409	   0.0217907
  -0.0210818	   1.4155706	   0.0259806	  -0.7712389	   0.2267938	   0.0224490
  -0.0339341	   1.4192813	   0.0263535	  -0.7710782	   0.2185076	   0.0222960
